model,model_type,bio_score,cost
Alibaba-NLP__gte-Qwen2-1.5B-instruct,embedding,0.7079118571428571,0.028860364878000002
Alibaba-NLP__gte-Qwen2-7B-instruct,embedding,0.7317498571428571,0.108842256728
BAAI__bge-base-en-v1.5,embedding,0.6643675714285714,0.00089178416
BAAI__bge-m3,embedding,0.6310137142857143,0.00601954308
BAAI__bge-small-en-v1.5,embedding,0.6504665714285714,0.00089178416
GritLM__GritLM-7B,embedding,0.48353942857142856,0.139023576893
Linq-AI-Research__Linq-Embed-Mistral,embedding,0.6984157142857141,0.13928553848999997
Qwen__Qwen3-Embedding-0.6B,embedding,0.7022801428571428,0.02144007523
Qwen__Qwen3-Embedding-4B,embedding,0.7418331428571429,0.0817413079
Qwen__Qwen3-Embedding-8B,embedding,0.7452618571428571,0.1287221382299999
Salesforce__SFR-Embedding-2_R,embedding,0.7400525714285714,0.13672723268099998
Snowflake__snowflake-arctic-embed-l-v2.0,embedding,0.6320165714285714,0.00657356472
bflhc__Octen-Embedding-8B,embedding,0.7447727142857143,0.131515868996
codefuse-ai__F2LLM-v2-0.6B,embedding,0.7136107142857142,0.020327105197
codefuse-ai__F2LLM-v2-1.7B,embedding,0.7332264285714285,0.0362287315
codefuse-ai__F2LLM-v2-14B,embedding,0.7269811428571428,0.26288124941499996
codefuse-ai__F2LLM-v2-4B,embedding,0.724391,0.096000564824
codefuse-ai__F2LLM-v2-8B,embedding,0.7267367142857143,0.148521078197
deepseek-r1,llm,0.5910971428571429,4.6933503000000005
deepseek__deepseek-v4-flash,llm,0.5828192857142858,0.2732531409629527
glm-4.7,llm,0.6240644285714286,4.8997663000000005
google__embeddinggemma-300m,embedding,0.7165075714285715,0.010283386095
google__gemini-3-flash-preview,llm,0.6872055714285714,5.288929701718022
google__gemini-3.1-flash-lite-preview,llm,0.5319561428571429,0.6173797749349663
google__gemini-3.1-pro-preview,llm,0.758393,13.164381904218999
intfloat__e5-mistral-7b-instruct,embedding,0.535656857142857,0.14007699693200001
intfloat__multilingual-e5-base,embedding,0.6134187142857143,0.0020176616620000004
intfloat__multilingual-e5-large,embedding,0.6303675714285715,0.006025116730999999
intfloat__multilingual-e5-large-instruct,embedding,0.6781511428571428,0.0060139694290000005
intfloat__multilingual-e5-small,embedding,0.6143045714285715,0.00097386144
jinaai__jina-embeddings-v5-text-nano,embedding,0.7403728571428572,0.01176040361
jinaai__jina-embeddings-v5-text-small,embedding,0.7449795714285715,0.042058770446
kimi-k2.6,llm,0.673779857142857,8.484448176
minimax-m2.7,llm,0.6293204285714287,2.179613187
nvidia__llama-embed-nemotron-8b,embedding,0.7372198571428571,0.138633421323
qwen3.6-27b,llm,0.7004364285714286,7.08820497
qwen3.6-35b-a3b,llm,0.7065442857142857,2.31077962
sentence-transformers__all-MiniLM-L6-v2,embedding,0.6491124285714286,0.00089178416
tencent__KaLM-Embedding-Gemma3-12B-2511,embedding,0.7275752857142858,0.200328164242
