model_a,model_b,suite,n_tasks,mean_diff,ci_low,ci_high,p_value
BAAI__bge-large-en-v1.5,BAAI__bge-base-en-v1.5,full,12,0.0017,-0.0064,0.0098,0.6922
BAAI__bge-base-en-v1.5,BAAI__bge-small-en-v1.5,full,12,0.0164,0.0046,0.0274,0.0082
BAAI__bge-base-en-v1.5,FremyCompany__BioLORD-2023,full,12,0.0152,-0.0038,0.031,0.1038
BAAI__bge-base-en-v1.5,NeuML__pubmedbert-base-embeddings,full,12,0.0368,0.004,0.0751,0.024
Qwen__Qwen3-Embedding-0.6B,BAAI__bge-base-en-v1.5,full,12,0.0272,-0.033,0.0733,0.3244
Qwen__Qwen3-Embedding-4B,BAAI__bge-base-en-v1.5,full,12,0.0567,0.0017,0.1116,0.0432
BAAI__bge-base-en-v1.5,Snowflake__snowflake-arctic-embed-l-v2.0,full,12,0.0103,-0.0258,0.0405,0.5228
abhinand__MedEmbed-base-v0.1,BAAI__bge-base-en-v1.5,full,12,0.0039,-0.008,0.022,0.706
abhinand__MedEmbed-large-v0.1,BAAI__bge-base-en-v1.5,full,12,0.0015,-0.0083,0.0136,0.8288
BAAI__bge-base-en-v1.5,abhinand__MedEmbed-small-v0.1,full,12,0.001,-0.013,0.0142,0.8676
BAAI__bge-base-en-v1.5,deepseek__deepseek-v4-flash,full,12,0.023,-0.0443,0.0936,0.5082
BAAI__bge-base-en-v1.5,google__gemini-3.1-flash-lite-preview,full,12,0.0505,-0.0446,0.1511,0.3166
BAAI__bge-base-en-v1.5,intfloat__multilingual-e5-small,full,12,0.0381,0.0213,0.0533,0.0
BAAI__bge-base-en-v1.5,ncbi__MedCPT,full,12,0.0729,0.0233,0.1317,0.0006
BAAI__bge-base-en-v1.5,sentence-transformers__all-MiniLM-L6-v2,full,12,0.0091,-0.0091,0.0279,0.3552
BAAI__bge-large-en-v1.5,BAAI__bge-small-en-v1.5,full,12,0.0182,0.0058,0.0307,0.0028
BAAI__bge-large-en-v1.5,FremyCompany__BioLORD-2023,full,12,0.017,-0.0008,0.0334,0.06
BAAI__bge-large-en-v1.5,NeuML__pubmedbert-base-embeddings,full,12,0.0385,0.0044,0.0787,0.0238
Qwen__Qwen3-Embedding-0.6B,BAAI__bge-large-en-v1.5,full,12,0.0254,-0.0311,0.0678,0.3312
Qwen__Qwen3-Embedding-4B,BAAI__bge-large-en-v1.5,full,12,0.055,0.0043,0.1054,0.0312
BAAI__bge-large-en-v1.5,Snowflake__snowflake-arctic-embed-l-v2.0,full,12,0.012,-0.023,0.0447,0.4772
abhinand__MedEmbed-base-v0.1,BAAI__bge-large-en-v1.5,full,12,0.0022,-0.0114,0.0181,0.8258
BAAI__bge-large-en-v1.5,abhinand__MedEmbed-large-v0.1,full,12,0.0002,-0.0088,0.0086,0.9382
BAAI__bge-large-en-v1.5,abhinand__MedEmbed-small-v0.1,full,12,0.0027,-0.01,0.0161,0.6978
BAAI__bge-large-en-v1.5,deepseek__deepseek-v4-flash,full,12,0.0247,-0.0446,0.0981,0.497
BAAI__bge-large-en-v1.5,google__gemini-3.1-flash-lite-preview,full,12,0.0522,-0.046,0.1569,0.3198
BAAI__bge-large-en-v1.5,intfloat__multilingual-e5-small,full,12,0.0398,0.0239,0.0556,0.0
BAAI__bge-large-en-v1.5,ncbi__MedCPT,full,12,0.0746,0.0212,0.1371,0.0014
BAAI__bge-large-en-v1.5,sentence-transformers__all-MiniLM-L6-v2,full,12,0.0109,-0.0083,0.0302,0.286
FremyCompany__BioLORD-2023,BAAI__bge-small-en-v1.5,full,12,0.0012,-0.0147,0.0182,0.8906
BAAI__bge-small-en-v1.5,NeuML__pubmedbert-base-embeddings,full,12,0.0204,-0.0139,0.0592,0.2746
Qwen__Qwen3-Embedding-0.6B,BAAI__bge-small-en-v1.5,full,12,0.0436,-0.0114,0.085,0.1118
Qwen__Qwen3-Embedding-4B,BAAI__bge-small-en-v1.5,full,12,0.0731,0.0237,0.1232,0.0036
Snowflake__snowflake-arctic-embed-l-v2.0,BAAI__bge-small-en-v1.5,full,12,0.0062,-0.0269,0.046,0.7908
abhinand__MedEmbed-base-v0.1,BAAI__bge-small-en-v1.5,full,12,0.0203,0.0002,0.0446,0.0474
abhinand__MedEmbed-large-v0.1,BAAI__bge-small-en-v1.5,full,12,0.018,0.0017,0.0359,0.0266
abhinand__MedEmbed-small-v0.1,BAAI__bge-small-en-v1.5,full,12,0.0154,-0.0006,0.0329,0.0588
BAAI__bge-small-en-v1.5,deepseek__deepseek-v4-flash,full,12,0.0065,-0.0624,0.0808,0.8654
BAAI__bge-small-en-v1.5,google__gemini-3.1-flash-lite-preview,full,12,0.0341,-0.0631,0.1375,0.5166
BAAI__bge-small-en-v1.5,intfloat__multilingual-e5-small,full,12,0.0217,0.0028,0.0395,0.0264
BAAI__bge-small-en-v1.5,ncbi__MedCPT,full,12,0.0565,0.0042,0.1159,0.0332
sentence-transformers__all-MiniLM-L6-v2,BAAI__bge-small-en-v1.5,full,12,0.0073,-0.0112,0.0254,0.4346
FremyCompany__BioLORD-2023,NeuML__pubmedbert-base-embeddings,full,12,0.0216,-0.0124,0.0607,0.2404
Qwen__Qwen3-Embedding-0.6B,FremyCompany__BioLORD-2023,full,12,0.0424,-0.0205,0.0923,0.1696
Qwen__Qwen3-Embedding-4B,FremyCompany__BioLORD-2023,full,12,0.0719,0.0145,0.13,0.013
Snowflake__snowflake-arctic-embed-l-v2.0,FremyCompany__BioLORD-2023,full,12,0.005,-0.0296,0.04,0.793
abhinand__MedEmbed-base-v0.1,FremyCompany__BioLORD-2023,full,12,0.0191,-0.0049,0.0404,0.1256
abhinand__MedEmbed-large-v0.1,FremyCompany__BioLORD-2023,full,12,0.0168,-0.0023,0.035,0.0868
abhinand__MedEmbed-small-v0.1,FremyCompany__BioLORD-2023,full,12,0.0142,-0.0093,0.0339,0.2206
FremyCompany__BioLORD-2023,deepseek__deepseek-v4-flash,full,12,0.0077,-0.0634,0.0831,0.8322
FremyCompany__BioLORD-2023,google__gemini-3.1-flash-lite-preview,full,12,0.0353,-0.0649,0.14,0.501
FremyCompany__BioLORD-2023,intfloat__multilingual-e5-small,full,12,0.0229,0.0084,0.038,0.0016
FremyCompany__BioLORD-2023,ncbi__MedCPT,full,12,0.0577,0.0033,0.1214,0.035
sentence-transformers__all-MiniLM-L6-v2,FremyCompany__BioLORD-2023,full,12,0.0061,-0.0189,0.0306,0.6214
Qwen__Qwen3-Embedding-0.6B,NeuML__pubmedbert-base-embeddings,full,12,0.064,-0.01,0.1279,0.0896
Qwen__Qwen3-Embedding-4B,NeuML__pubmedbert-base-embeddings,full,12,0.0935,0.0207,0.1673,0.0114
Snowflake__snowflake-arctic-embed-l-v2.0,NeuML__pubmedbert-base-embeddings,full,12,0.0265,-0.0184,0.0772,0.266
abhinand__MedEmbed-base-v0.1,NeuML__pubmedbert-base-embeddings,full,12,0.0407,0.0024,0.0846,0.0362
